countyFIPS,County Name,State,Male population,Female population,Under 5years,5 to 9years,10 to 14years,15 to 19years,20 to 24years,25 to 34years,35 to 44 years,45 to 54years,55 to 59years,60 to 64years,65 to 74years,75 to 84years,85years and over,Under 18years,18years and above,65years and above,Male(18years and above),Female(18years and above),Male(65years and above),Female(65years and over),One race population,White population,Black population,Asian population,Total Housing units,Voting population,Male voting population,Female voting population
1001,Autauga County,AL,28206,30033,3318,3716,4004,3939,3648,7427,7751,8004,4164,3453,5218,2674,923,13801,44438,8815,21304,23134,3919,4896,56166,43755,11470,647,24170,43906,21018,22888
1003,Baldwin County,AL,110781,116350,12035,11730,16407,13801,11181,24940,27702,29535,15999,16996,28670,13981,4154,49026,178105,46805,85668,92437,21795,25010,219535,192034,19895,2175,121763,174686,83847,90839
1005,Barbour County,AL,13361,11898,1320,1601,1422,1487,1434,3551,3193,3195,1540,1715,2884,1492,425,5264,19995,4801,10746,9249,2084,2717,24641,11495,11985,106,11667,19623,10571,9052
1007,Bibb County,AL,12300,10112,1196,1274,1230,1463,1192,3334,3062,3075,1584,1408,2144,1137,313,4612,17800,3594,9780,8020,1629,1965,22111,17020,5003,46,9013,17682,9690,7992
1009,Blount County,AL,29530,29354,3467,3578,4194,3591,3386,7032,7137,7834,4064,4017,6235,3218,1131,13683,45201,10584,22357,22844,4726,5858,56921,54439,760,216,24527,43633,21535,22098
1011,Bullock County,AL,5658,4728,558,622,884,876,569,1126,1329,1318,628,794,1025,449,208,2303,8083,1682,4424,3659,732,950,10193,2572,7164,46,4522,8003,4344,3659
1013,Butler County,AL,8974,10207,1087,1073,1470,1128,1039,2181,2434,2131,1236,1410,2361,1168,463,4365,14816,3992,6699,8117,1641,2351,18847,9894,8592,280,9842,14677,6606,8071
1015,Calhoun County,AL,56079,60346,6716,6632,7469,8000,7345,15004,14146,14400,8046,8084,12601,6320,1662,25411,91014,20583,43159,47855,8850,11733,113036,84775,25017,876,53112,89501,42470,47031
1017,Chambers County,AL,16725,18109,2056,1815,2171,1878,2086,4352,3896,4671,2795,2286,4226,2114,488,7266,27568,6828,13077,14491,3003,3825,34423,19827,13977,358,16433,27158,12775,14383
1019,Cherokee County,AL,12352,12623,1089,1445,1365,1449,1191,2473,2732,3465,2006,2050,3453,1702,555,4847,20128,5710,9929,10199,2700,3010,24361,22846,1167,37,14734,19801,9727,10074
1021,Chilton County,AL,21876,22981,2710,3026,3063,2875,2649,5579,5698,5816,2910,3159,4475,2166,731,10745,34112,7372,16616,17496,3375,3997,42885,36385,3959,210,19407,33048,16107,16941
1023,Choctaw County,AL,6098,6694,700,531,865,869,546,1461,1204,1648,1071,981,1660,820,436,2586,10206,2916,4764,5442,1277,1639,12656,7255,5284,15,7132,10148,4757,5391
1025,Clarke County,AL,11142,12204,1435,1215,1585,1543,1299,2561,2722,2979,1891,1508,2577,1477,554,5178,18168,4608,8503,9665,2041,2567,23039,12131,10593,105,11788,18107,8467,9640
1027,Clay County,AL,6985,7199,744,699,1076,913,783,1595,1505,1884,1078,1046,1605,969,287,3017,11167,2861,5440,5727,1268,1593,13603,11650,1883,35,7009,11139,5440,5699
1029,Cleburne County,AL,7368,7678,865,1042,951,860,769,1907,1645,2048,986,1085,1700,727,461,3443,11603,2888,5626,5977,1272,1616,14749,14011,391,1,6792,11475,5537,5938
1031,Coffee County,AL,26357,26686,3212,3017,4192,3450,3009,6662,6875,7043,3158,3461,5419,2760,785,12672,40371,8964,19781,20590,4026,4938,50145,39137,8992,762,23934,39280,19363,19917
1033,Colbert County,AL,27602,29187,3182,3283,3601,3233,3100,7039,6666,7442,3948,4158,6509,3596,1032,12042,44747,11137,21296,23451,4804,6333,55487,44400,9301,256,27496,44242,21078,23164
1035,Conecuh County,AL,5751,6027,508,608,939,682,376,1565,1170,1432,634,1176,1619,840,229,2451,9327,2688,4427,4900,1232,1456,11657,5901,5664,44,6469,9319,4419,4900
1037,Coosa County,AL,5426,5016,465,313,559,543,397,992,1266,1512,1013,906,1579,685,212,1696,8746,2476,4373,4373,1157,1319,10236,6911,3204,0,6064,8718,4345,4373
1039,Covington County,AL,18264,19226,2120,2294,2450,2263,1942,4257,4111,4682,2683,2843,4423,2298,1124,8334,29156,7845,13866,15290,3423,4422,36706,31511,4621,230,18627,28960,13803,15157
1041,Crenshaw County,AL,6458,6842,726,817,932,801,743,1611,1512,1629,833,1134,1580,697,285,3030,10270,2562,4960,5310,1124,1438,12851,9392,3258,174,6544,10162,4863,5299
1043,Cullman County,AL,43137,43992,5290,5252,5688,5541,4795,10633,10543,11457,6248,5815,9543,5126,1198,19683,67446,15867,33225,34221,7218,8649,83933,80852,979,311,38859,66380,32635,33745
1045,Dale County,AL,24632,24811,3210,3218,3091,3036,3282,6879,5963,5918,3306,3134,5055,2601,750,11411,38032,8406,18754,19278,3890,4516,47546,34987,10236,696,22790,37345,18477,18868
1047,Dallas County,AL,18136,21026,2397,2639,2700,2798,2309,4445,4405,4563,2782,2963,4400,2062,699,9448,29714,7161,13287,16427,3040,4121,38943,10543,28083,249,19037,29546,13204,16342
1049,DeKalb County,AL,35626,35928,4209,4350,5696,4841,4172,8328,8931,9411,4602,4886,7466,3421,1241,17421,54133,12128,26715,27418,5529,6599,68453,59870,1114,60,30647,49814,24350,25464
