location,Dates,new_cases,new_deaths,new_cases_per_million,new_deaths_per_million,population
Indonesia,2022-05-30,218.0,12.0,0.791,0.044,275501344.0
Indonesia,2022-05-31,340.0,5.0,1.234,0.018,275501344.0
Indonesia,2022-06-01,368.0,3.0,1.336,0.011,275501344.0
Indonesia,2022-06-02,304.0,6.0,1.103,0.022,275501344.0
Indonesia,2022-06-03,372.0,4.0,1.35,0.015,275501344.0
Indonesia,2022-06-04,395.0,6.0,1.434,0.022,275501344.0
Indonesia,2022-06-05,388.0,5.0,1.408,0.018,275501344.0
Indonesia,2022-06-06,342.0,7.0,1.241,0.025,275501344.0
Indonesia,2022-06-07,518.0,2.0,1.88,0.007,275501344.0
Indonesia,2022-06-08,520.0,4.0,1.887,0.015,275501344.0
Indonesia,2022-06-09,556.0,7.0,2.018,0.025,275501344.0
Indonesia,2022-06-10,627.0,3.0,2.276,0.011,275501344.0
Indonesia,2022-06-11,574.0,3.0,2.083,0.011,275501344.0
Indonesia,2022-06-12,551.0,2.0,2.0,0.007,275501344.0
Indonesia,2022-06-13,591.0,9.0,2.145,0.033,275501344.0
Indonesia,2022-06-14,930.0,10.0,3.376,0.036,275501344.0
Indonesia,2022-06-15,1242.0,8.0,4.508,0.029,275501344.0
Indonesia,2022-06-16,1173.0,3.0,4.258,0.011,275501344.0
Indonesia,2022-06-17,1220.0,6.0,4.428,0.022,275501344.0
Indonesia,2022-06-18,1264.0,5.0,4.588,0.018,275501344.0
Indonesia,2022-06-19,1167.0,3.0,4.236,0.011,275501344.0
Indonesia,2022-06-20,1180.0,8.0,4.283,0.029,275501344.0
Indonesia,2022-06-21,1678.0,5.0,6.091,0.018,275501344.0
Indonesia,2022-06-22,1985.0,2.0,7.205,0.007,275501344.0
Indonesia,2022-06-23,1907.0,4.0,6.922,0.015,275501344.0
Indonesia,2022-06-24,2069.0,5.0,7.51,0.018,275501344.0
Indonesia,2022-06-25,1831.0,3.0,6.646,0.011,275501344.0
Indonesia,2022-06-26,1726.0,3.0,6.265,0.011,275501344.0
Indonesia,2022-06-27,1445.0,9.0,5.245,0.033,275501344.0
Indonesia,2022-06-28,2167.0,2.0,7.866,0.007,275501344.0
Indonesia,2022-06-29,2149.0,3.0,7.8,0.011,275501344.0
Indonesia,2022-06-30,2248.0,6.0,8.16,0.022,275501344.0
Indonesia,2022-07-01,2049.0,3.0,7.437,0.011,275501344.0
Indonesia,2022-07-02,1794.0,5.0,6.512,0.018,275501344.0
Indonesia,2022-07-03,1614.0,4.0,5.858,0.015,275501344.0
Indonesia,2022-07-04,1434.0,9.0,5.205,0.033,275501344.0
Indonesia,2022-07-05,2577.0,8.0,9.354,0.029,275501344.0
Indonesia,2022-07-06,2743.0,4.0,9.956,0.015,275501344.0
Indonesia,2022-07-07,2881.0,6.0,10.457,0.022,275501344.0
Indonesia,2022-07-08,2472.0,5.0,8.973,0.018,275501344.0
Indonesia,2022-07-09,2705.0,4.0,9.818,0.015,275501344.0
Indonesia,2022-07-10,2576.0,6.0,9.35,0.022,275501344.0
Indonesia,2022-07-11,1681.0,7.0,6.102,0.025,275501344.0
Indonesia,2022-07-12,3361.0,8.0,12.2,0.029,275501344.0
Indonesia,2022-07-13,3822.0,12.0,13.873,0.044,275501344.0
Indonesia,2022-07-14,3584.0,9.0,13.009,0.033,275501344.0
Indonesia,2022-07-15,3331.0,6.0,12.091,0.022,275501344.0
Indonesia,2022-07-16,4329.0,6.0,15.713,0.022,275501344.0
Indonesia,2022-07-17,3540.0,10.0,12.849,0.036,275501344.0
Indonesia,2022-07-18,3393.0,10.0,12.316,0.036,275501344.0
Indonesia,2022-07-19,5085.0,6.0,18.457,0.022,275501344.0
Indonesia,2022-07-20,5653.0,10.0,20.519,0.036,275501344.0
Indonesia,2022-07-21,5410.0,5.0,19.637,0.018,275501344.0
Indonesia,2022-07-22,4834.0,13.0,17.546,0.047,275501344.0
Indonesia,2022-07-23,4943.0,9.0,17.942,0.033,275501344.0
Indonesia,2022-07-24,4071.0,0.0,14.777,0.0,275501344.0
Indonesia,2022-07-25,4048.0,14.0,14.693,0.051,275501344.0
Indonesia,2022-07-26,6483.0,13.0,23.532,0.047,275501344.0
Indonesia,2022-07-27,6438.0,11.0,23.368,0.04,275501344.0
Indonesia,2022-07-28,6353.0,17.0,23.06,0.062,275501344.0
Indonesia,2022-07-29,5831.0,13.0,21.165,0.047,275501344.0
Indonesia,2022-07-30,5398.0,13.0,19.593,0.047,275501344.0
Indonesia,2022-07-31,4205.0,10.0,15.263,0.036,275501344.0
Indonesia,2022-08-01,3696.0,11.0,13.416,0.04,275501344.0
Indonesia,2022-08-02,5827.0,24.0,21.151,0.087,275501344.0
Indonesia,2022-08-03,6167.0,18.0,22.385,0.065,275501344.0
Indonesia,2022-08-04,6527.0,14.0,23.691,0.051,275501344.0
Indonesia,2022-08-05,5929.0,12.0,21.521,0.044,275501344.0
Indonesia,2022-08-06,5455.0,10.0,19.8,0.036,275501344.0
Indonesia,2022-08-07,4279.0,13.0,15.532,0.047,275501344.0
Indonesia,2022-08-08,4425.0,18.0,16.062,0.065,275501344.0
Indonesia,2022-08-09,6276.0,18.0,22.78,0.065,275501344.0
Indonesia,2022-08-10,5926.0,18.0,21.51,0.065,275501344.0
Indonesia,2022-08-11,5532.0,22.0,20.08,0.08,275501344.0
Indonesia,2022-08-12,6091.0,18.0,22.109,0.065,275501344.0
Indonesia,2022-08-13,5104.0,19.0,18.526,0.069,275501344.0
Indonesia,2022-08-14,4442.0,18.0,16.123,0.065,275501344.0
Indonesia,2022-08-15,3588.0,26.0,13.024,0.094,275501344.0
Indonesia,2022-08-16,5869.0,25.0,21.303,0.091,275501344.0
Indonesia,2022-08-17,5253.0,19.0,19.067,0.069,275501344.0
Indonesia,2022-08-18,4039.0,21.0,14.661,0.076,275501344.0
Indonesia,2022-08-19,5163.0,26.0,18.74,0.094,275501344.0
Indonesia,2022-08-20,4922.0,22.0,17.866,0.08,275501344.0
Indonesia,2022-08-21,3949.0,12.0,14.334,0.044,275501344.0
Indonesia,2022-08-22,3300.0,19.0,11.978,0.069,275501344.0
