State,Dates,new_cases,new_deaths,population,weekly_new_cases_mean,weekly_new_deaths_mean,weekly_new_cases_median,weekly_new_deaths_median,weekly_new_cases_mode,weekly_new_deaths_mode,normalized_new_cases,normalized_new_deaths
NC,2022-05-30,0.0,0.0,10488084,0,0,0,0,0.0,0.0,0.0,0.0
NC,2022-06-06,27790.0,9.0,10488084,3970,1,0,0,0.0,0.0,264.96736677547585,0.08581166970058593
NC,2022-06-13,26790.0,441.0,10488084,3827,63,0,0,0.0,0.0,255.4327368087441,4.20477181532871
NC,2022-06-20,24464.0,46.0,10488084,3494,6,0,0,0.0,0.0,233.255187506126,0.4385929784696614
NC,2022-06-27,19098.0,11.0,10488084,2728,1,0,0,0.0,0.0,182.09236310464334,0.10488092963404946
NC,2022-07-04,24141.0,58.0,10488084,3448,8,0,0,0.0,0.0,230.17550202687164,0.5530085380704426
NC,2022-07-11,25462.0,48.0,10488084,3637,6,0,0,0.0,0.0,242.7707482129243,0.4576622384031249
NC,2022-07-18,26387.0,138.0,10488084,3769,19,0,0,0.0,0.0,251.59028093215122,1.3157789354089842
NC,2022-07-25,30131.0,40.0,10488084,4304,5,0,0,0.0,0.0,287.2879355275949,0.38138519866927073
NC,2022-08-01,33932.0,48.0,10488084,4847,6,0,0,0.0,0.0,323.52906403114235,0.4576622384031249
NC,2022-08-08,33265.0,204.0,10488084,4752,29,0,0,0.0,0.0,317.1694658433323,1.9450645132132809
NC,2022-08-15,31230.0,37.0,10488084,4461,5,0,0,0.0,0.0,297.76649386103315,0.3527813087690755
NC,2022-08-22,27339.0,36.0,10488084,3905,5,0,0,0.0,0.0,260.66724866047986,0.3432466788023437
NC,2022-08-29,23959.0,83.0,10488084,3422,11,0,0,0.0,0.0,228.44019937292643,0.7913742872387369
NC,2022-09-05,21898.0,492.0,10488084,3128,70,0,0,0.0,0.0,208.7893270114923,4.691037943632031
NC,2022-09-12,20481.0,30.0,10488084,2925,4,0,0,0.0,0.0,195.27875634863335,0.28603889900195306
NC,2022-09-19,21189.0,49.0,10488084,3027,7,0,0,0.0,0.0,202.02927436507946,0.4671968683698567
NC,2022-09-26,20284.0,44.0,10488084,2897,6,0,0,0.0,0.0,193.4004342451872,0.41952371853619785
NC,2022-10-03,16091.0,67.0,10488084,2298,9,0,0,0.0,0.0,153.42173079468088,0.6388202077710285
NC,2022-10-10,11971.0,327.0,10488084,1710,46,0,0,0.0,0.0,114.13905533174602,3.1178239991212884
NC,2022-10-17,10021.0,33.0,10488084,1431,4,0,0,0.0,0.0,95.54652689661906,0.31464278890214836
NC,2022-10-24,0.0,0.0,10488084,0,0,0,0,0.0,0.0,0.0,0.0
NC,2022-10-31,16582.0,68.0,10488084,2368,9,0,0,0.0,0.0,158.10323410834621,0.6483548377377604
NC,2022-11-07,8735.0,281.0,10488084,1247,40,0,0,0.0,0.0,83.284992759402,2.679231020651627
NC,2022-11-14,9365.0,30.0,10488084,1337,4,0,0,0.0,0.0,89.29180963844303,0.28603889900195306
NC,2022-11-21,6795.0,41.0,10488084,970,5,0,0,0.0,0.0,64.78781062394236,0.3909198286360025
NC,2022-11-28,6166.0,42.0,10488084,880,6,0,0,0.0,0.0,58.79052837486809,0.4004544586027343
NC,2022-12-05,6842.0,24.0,10488084,977,3,0,0,0.0,0.0,65.23593823237877,0.22883111920156246
NC,2022-12-12,11605.0,162.0,10488084,1657,23,0,0,0.0,0.0,110.64938076392218,1.5446100546105466
NC,2022-12-19,13190.0,47.0,10488084,1884,6,0,0,0.0,0.0,125.76176926119204,0.44812760843639315
NC,2022-12-26,16676.0,49.0,10488084,2382,7,0,0,0.0,0.0,158.99948932521897,0.4671968683698567
NC,2023-01-02,0.0,0.0,10488084,0,0,0,0,0.0,0.0,0.0,0.0
NJ,2022-05-30,0.0,0.0,8882190,0,0,0,0,0.0,0.0,0.0,0.0
NJ,2022-06-06,30838.0,87.0,8882190,4405,12,0,0,0.0,0.0,347.1891504234879,0.9794881667696818
NJ,2022-06-13,26493.0,99.0,8882190,3784,14,0,0,0.0,0.0,298.2710345083814,1.1145899828758448
NJ,2022-06-20,19297.0,80.0,8882190,2756,11,3079,17,0.0,0.0,217.25497878338564,0.9006787740410866
NJ,2022-06-27,20254.0,68.0,8882190,2893,9,2849,10,0.0,0.0,228.02934861785212,0.7655769579349238
NJ,2022-07-04,14294.0,50.0,8882190,2042,7,3142,8,0.0,0.0,160.92877995179117,0.5629242337756791
NJ,2022-07-11,30277.0,55.0,8882190,4325,7,3069,9,0.0,0.0,340.87314052052477,0.6192166571532471
NJ,2022-07-18,22893.0,51.0,8882190,3270,7,3965,7,0.0,7.0,257.7404896765325,0.5741827184511927
NJ,2022-07-25,10739.0,26.0,8882190,1534,3,0,0,0.0,0.0,120.90486693034038,0.2927206015633532
NJ,2022-08-01,42829.0,81.0,8882190,6118,11,0,0,0.0,0.0,482.18964016757127,0.9119372587166004
NJ,2022-08-08,22082.0,73.0,8882190,3154,10,3435,13,0.0,0.0,248.60985860469097,0.8218693813124917
NJ,2022-08-15,19200.0,61.0,8882190,2742,8,0,0,0.0,0.0,216.1629057698608,0.6867675652063286
NJ,2022-08-22,16451.0,63.0,8882190,2350,9,2429,10,0.0,0.0,185.21333139687397,0.7092845345573557
NJ,2022-08-29,16384.0,65.0,8882190,2340,9,0,0,0.0,0.0,184.45901292361455,0.7318015039083829
NJ,2022-09-05,12734.0,51.0,8882190,1819,7,1641,6,0.0,0.0,143.36554385799,0.5741827184511927
NJ,2022-09-12,0.0,49.0,8882190,0,7,0,0,0.0,0.0,0.0,0.5516657491001656
NJ,2022-09-19,27192.0,47.0,8882190,3884,6,0,0,0.0,0.0,306.14071529656536,0.5291487797491384
NJ,2022-09-26,18104.0,40.0,8882190,2586,5,0,0,0.0,0.0,203.82360656549795,0.4503393870205433
NJ,2022-10-03,15841.0,35.0,8882190,2263,5,2524,6,0.0,0.0,178.3456557448107,0.3940469636429754
NJ,2022-10-10,1978.0,5.0,8882190,282,0,0,0,0.0,0.0,22.26928268816587,0.056292423377567916
NJ,2022-10-17,17320.0,51.0,8882190,2474,7,0,0,0.0,0.0,194.99695457989526,0.5741827184511927
NJ,2022-10-24,8496.0,24.0,8882190,1213,3,0,0,0.0,0.0,95.65208580316342,0.270203632212326
NJ,2022-10-31,6583.0,28.0,8882190,940,4,0,0,0.0,0.0,74.11460461890593,0.31523757091438037
NJ,2022-11-07,29799.0,78.0,8882190,4257,11,0,0,0.0,0.0,335.4915848456293,0.8781618046900596
NJ,2022-11-14,0.0,0.0,8882190,0,0,0,0,0.0,0.0,0.0,0.0
NJ,2022-11-21,14420.0,77.0,8882190,2060,11,0,0,0.0,0.0,162.34734902090588,0.8669033200145458
NJ,2022-11-28,18976.0,76.0,8882190,2710,10,0,0,0.0,0.0,213.64100520254578,0.8556448353390325
NJ,2022-12-05,5316.0,36.0,8882190,759,5,0,0,0.0,0.0,59.85010453503022,0.40530544831848897
NJ,2022-12-12,13254.0,57.0,8882190,1893,8,0,0,0.0,0.0,149.21995588925705,0.6417336265042743
NJ,2022-12-19,24118.0,125.0,8882190,3445,17,0,0,0.0,0.0,271.53213340403664,1.407310584439198
NJ,2022-12-26,12747.0,57.0,8882190,1821,8,0,0,0.0,0.0,143.51190415877164,0.6417336265042743
NJ,2023-01-02,0.0,0.0,8882190,0,0,0,0,0.0,0.0,0.0,0.0
NY,2022-05-30,21446.0,0.0,19453561,21446,0,21446,0,0.0,0.0,110.24202715379462,0.0
NY,2022-06-06,40883.0,202.0,19453561,5840,28,5681,28,0.0,0.0,210.1568962104162,1.0383703014579182
NY,2022-06-13,37759.0,128.0,19453561,5394,18,5663,27,0.0,0.0,194.0981396670769,0.6579772207258094
NY,2022-06-20,33490.0,144.0,19453561,4784,20,5176,16,0.0,0.0,172.15357126646376,0.7402243733165357
NY,2022-06-27,35903.0,134.0,19453561,5129,19,4211,15,0.0,0.0,184.55746996655265,0.6888199029473319
NY,2022-07-04,39740.0,114.0,19453561,5677,16,0,13,0.0,0.0,204.2813652472162,0.5860109622089241
NY,2022-07-11,46093.0,125.0,19453561,6584,17,0,20,0.0,0.0,236.9386252727714,0.6425558796150483
NY,2022-07-18,48463.0,123.0,19453561,6923,17,5420,14,0.0,0.0,249.1214847502727,0.6322749855412076
NY,2022-07-25,47618.0,167.0,19453561,6802,23,4957,32,0.0,32.0,244.777807004075,0.8584546551657045
NY,2022-08-01,42550.0,193.0,19453561,6078,27,4380,32,0.0,0.0,218.72602142096247,0.9921062781256347
NY,2022-08-08,41084.0,181.0,19453561,5869,25,6502,19,0.0,0.0,211.19012606483716,0.9304209136825901
NY,2022-08-15,35013.0,191.0,19453561,5001,27,5792,31,0.0,0.0,179.9824721036935,0.981825384051794
NY,2022-08-22,31437.0,160.0,19453561,4491,22,5062,25,0.0,25.0,161.6002334996662,0.8224715259072618
NY,2022-08-29,28846.0,171.0,19453561,4120,24,4632,22,0.0,0.0,148.28133522700548,0.8790164433133861
NY,2022-09-05,25440.0,141.0,19453561,3634,20,3762,20,0.0,32.0,130.77297261925466,0.7248030322057746
NY,2022-09-12,25383.0,152.0,19453561,3626,21,3386,19,0.0,0.0,130.4799671381502,0.7813479496118988
NY,2022-09-19,30372.0,177.0,19453561,4338,25,3391,23,0.0,0.0,156.125657405346,0.9098591255349084
NY,2022-09-26,31942.0,142.0,19453561,4563,20,5571,22,0.0,0.0,164.196159253311,0.729943479242695
